Action,SKU,CampaignID,OfferID,BrandSlug,ChannelSlug,SubChannel,Ranking,ProductSlug,ProductName,ProductDescription,BaseProduct,ProductPath,ExpirationDate,StateSlug,Commodity,UtilitySlug,UtilityZone,PremiseType,PricingTerm,PricingEngineLockType,TermsOfServiceType,UtilityRate,Rate,UtilityOnPeakRate,OnPeakRate,UtilityOffPeakRate,OffPeakRate,PenaltyType,EarlyCancellationFee,DailyServiceCharge,MonthlyServiceCharge,VASCode,ProductEligibilityClass,Adder,PartnerCode,PromoCode,MerchandiseText,MerchandiseSlug,MerchandiseVesting,SignupBonus,SignupVesting,OngoingValue,OngoingFrequency,PriorityLevel,TermsOfServiceTemplate,RequiresPriceChangeNotice,RateCategory,SKUEffectiveDate
None,g1e3f8b32f0a6177,U-00006724,1000056720,nrg_residential,inbound_telemarketing,,,0420dm_brand_50_bonus,Cash Back Electric Plan,$50 Check/3% Cash Back - April 2020 DM,variable,hidden,05/05/5555,oh,electric,cei,,residential,3,intro,variable,0.035,0.035,,,,,,,,,6,,,nrr,553,,,,$50,2 Months,3%,12 Months,23.0,,False,NRGHRVAR,2020-04-23
None,g1ecbe0867d2dd1b,U-00006746,1000056772,nrg_residential,inbound_telemarketing,,,csr_2mon_10000_bonus_2pcnt_earn_corporate,Power Play Electric Plan with Caesars Rewards,"10,000 bonus/ 2 credits per $1 - nrghomepower.com",variable,Partnership/Hotel/Ceasars,05/05/5555,oh,electric,cei,,residential,3,intro,variable,0.049,0.049,,,,,,,,,6,,,csr,47,,,,"10,000 Points",2 Months,2*,1 Month,23.0,,False,NRGHRVAR,2020-04-23
None,g2daec1252a68d2b,U-00007107,1000057208,nrg_residential,inbound_telemarketing,,,0120dm_winback_75_bonus,Win Back Electric Variable Plan,$75 Check/3% Cash Back - January 2020 DM,variable,hidden,02/02/2222,oh,electric,cei,,residential,3,intro,variable,0.037,0.037,,,,,,,,,6,,,nrr,533,,,,$75,2 Months,3%,12 Months,23.0,,False,NRGHRVAR,2020-05-18
None,g14b69c51ed8b5f8,U-00007064,1000057155,nrg_residential,inbound_telemarketing,,,cash_back_only,The Cash Back Plan,Inbound Cash Back Only Plan,Fixed,*Primary Plans,02/02/2222,oh,electric,oe,,residential,6,contract,fixed,0.059,0.059,,,,,prorated,0.0,,,6,,,nrr,535,,,,$50,6 Months,5%,12 Months,,,False,NRGHRFIX,2020-05-18
None,g27199496012637c,U-00007069,1000057146,nrg_residential,inbound_telemarketing,,,gz_rockout2_black,Renewable Plan,Goal Zero Rock Out 2 Solar Speaker,fixed,*Secondary Plans,02/02/2222,nj,electric,reco,,residential,6,contract,fixed,0.123,0.123,,,,,prorated,60.0,,,11,,,gze,406,Goal Zero Rock Out 2 Solar Rechargeable Speaker,gz_rockout2_black,P3M,,,,,,,False,NRGHRFIX2,2020-05-18
