IDoc number,Old status,new status,Status text,Error Text,Partner system,Message type
5000003779269416,64,53,Application document posted,IDOC Processed Sucessfully.,NE002,ZESUERIDERS
5000003779269417,64,53,Application document posted,IDOC Processed Sucessfully.,NE005,ZESUERIDERS
5000003779269418,64,53,Application document posted,IDOC Processed Sucessfully.,NE005,ZESUERIDERS
5000003779269419,64,53,Application document posted,IDOC Processed Sucessfully.,P0008,ZESUERIDERS
5000003779269420,64,53,Application document posted,IDOC Processed Sucessfully.,P0010,ZESUERIDERS
5000003779269421,64,53,Application document posted,IDOC Processed Sucessfully.,P0025,ZESUERIDERS
5000003779269422,64,53,Application document posted,IDOC Processed Sucessfully.,P0005,ZESUERIDERS
5000003779269423,64,53,Application document posted,IDOC Processed Sucessfully.,P0005,ZESUERIDERS
