Utility_Code,Utility,DUNS,AcctLength,InputMask,my_fixes,InputMaskResponse,Bill_Method,PricingMethod,UtilityAbbrev,UtilityID,State,CommodityID,Commodity,Unit,UnitAbbrev,EDI_Unit,RateType,DefaultSPL,Sender Name,Rules,DistributorName,Sister_Utility_Code,AllowBackDatedPricing,TaxRate,TaxInfo,DualBilling,BudgetBilling,TaxBackout,ManualEnrollments,InvCancelRefsUsage,PricingUnit,PricingUnitAbbrev,UsageHistoryUnit,UsageHistoryUnitAbbrev,InvoicingUnit,InvoicingUnitAbbrev,AcceptingEnrolments,VendorID,UtilitySlug
52,Dominion East Ohio,7900475,,,,,1,Unique,DEOHG,52,OH,2,Gas,Thousand Cubic Feet,Mcf,TZ,,DEO,,,Dominion East Ohio,,0,,0,0,0,0,0,0,Thousand Cubic Feet,Mcf,Hundred Cubic Feet,ccf,Thousand Cubic Feet,Mcf,1,1,deohg
55,Duke Energy Ohio - Electric,6999189,11,0,,,1,Unique,DUKEOH,55,OH,1,Electric,Kilowatt Hour,kWh,KH,,DEOK,,,Duke Energy Ohio,51,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,dukeoh
51,Duke Energy Ohio - Gas,6996052,11,0,,,1,Unique,DUKEOHG,51,OH,2,Gas,Hundred Cubic Feet,ccf,HH,,DKE,,,Duke Energy Ohio Gas,55,0,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,1,1,dukeohg
16,Duquesne,7915606,,,,,1,Unique,DUQ,16,PA,1,Electric,Kilowatt Hour,kWh,KH,,DUQ,,,Duquesne Light,,0,,0,0,1,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,duq
78,Eversource (NSTAR Gas),75345678,11,0,,,1,Unique,NSTARGAS,78,MA,2,Gas,Therm,thm,TD,Rate Code,COME,,,NStar - COM,42,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,,nstargas
58,Fitchburg Gas and Electric,,,,,,,,FITCH,58,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,fitch
28,JCP&L,6973358,20,8.00E+18,,,2,Unique,JCPL,28,NJ,1,Electric,Kilowatt Hour,kWh,KH,,JC01,,"All Numbers, must begin with 08",JCP&L,,1,0.07,1,1,1,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,jcpl
21,MetEd,7916836,20,8.00E+18,,,2,Unique,METED,21,PA,1,Electric,Kilowatt Hour,kWh,KH,,ME01,,,Metropolitan Edison Company,,1,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,meted
45,NatGrid Mass Electric,6952626,10,0,,,1,Unique,MECO,45,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,Nat Grid - Mass Electric,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,meco
46,NatGrid Nantucket,7998644,10,0,,,1,Unique,NGNTKT,46,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,Nat Grid - Nantucket Electric,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,ngntkt
